,algorithm_1,algorithm_2,user_id,jaccard_similarity
45,base,cp,GALWQ910RA,0.4285714285714285
46,base,fair,GALWQ910RA,0.0416666666666666
47,cp,fair,GALWQ910RA,0.3157894736842105
48,base,cp,GO0FBQPQ37,0.6129032258064516
49,base,fair,GO0FBQPQ37,0.6129032258064516
50,cp,fair,GO0FBQPQ37,0.7241379310344828
51,base,cp,GPM2I6EIUZ,0.6129032258064516
52,base,fair,GPM2I6EIUZ,0.0416666666666666
53,cp,fair,GPM2I6EIUZ,0.1904761904761904
54,base,cp,OEVQITG1UM,0.3888888888888889
55,base,fair,OEVQITG1UM,0.0416666666666666
56,cp,fair,OEVQITG1UM,0.2195121951219512
57,base,cp,P0V21X6PEW,0.4705882352941176
58,base,fair,P0V21X6PEW,0.0416666666666666
59,cp,fair,P0V21X6PEW,0.2195121951219512
60,base,cp,PCM06WWBZD,0.3888888888888889
61,base,fair,PCM06WWBZD,0.0416666666666666
62,cp,fair,PCM06WWBZD,0.3157894736842105
63,base,cp,QIMDN29QS3,0.3513513513513513
64,base,fair,QIMDN29QS3,0.0416666666666666
65,cp,fair,QIMDN29QS3,0.3513513513513513
66,base,cp,SIBGAX0G3P,0.4285714285714285
67,base,fair,SIBGAX0G3P,0.0416666666666666
68,cp,fair,SIBGAX0G3P,0.2195121951219512
69,base,cp,SIBGAX0G3P,0.3888888888888889
70,base,fair,SIBGAX0G3P,0.0416666666666666
71,cp,fair,SIBGAX0G3P,0.2195121951219512
72,base,cp,T3V46CNZWS,0.6129032258064516
73,base,fair,T3V46CNZWS,0.2195121951219512
74,cp,fair,T3V46CNZWS,0.3888888888888889
75,base,cp,TXY6NZALCS,0.4705882352941176
76,base,fair,TXY6NZALCS,0.0416666666666666
77,cp,fair,TXY6NZALCS,0.2195121951219512
78,base,cp,VIUZHWXV9T,0.5151515151515151
79,base,fair,VIUZHWXV9T,0.0416666666666666
80,cp,fair,VIUZHWXV9T,0.2195121951219512
81,base,cp,VK4SJEZ4YH,0.5151515151515151
82,base,fair,VK4SJEZ4YH,0.3157894736842105
83,cp,fair,VK4SJEZ4YH,0.5151515151515151
84,base,cp,WFNW44VV09,0.3513513513513513
85,base,fair,WFNW44VV09,0.0416666666666666
86,cp,fair,WFNW44VV09,0.282051282051282
87,base,cp,WFZTMKTIO8,0.4705882352941176
88,base,fair,WFZTMKTIO8,0.0416666666666666
89,cp,fair,WFZTMKTIO8,0.282051282051282
90,base,cp,WVNSDGJT5R,0.4285714285714285
91,base,fair,WVNSDGJT5R,0.0416666666666666
92,cp,fair,WVNSDGJT5R,0.1904761904761904
93,base,cp,X7JBGVG2UP,0.5151515151515151
94,base,fair,X7JBGVG2UP,0.2195121951219512
95,cp,fair,X7JBGVG2UP,0.3888888888888889
96,base,cp,Z4ISRTP4DB,0.4285714285714285
97,base,fair,Z4ISRTP4DB,0.0416666666666666
98,cp,fair,Z4ISRTP4DB,0.25
99,base,cp,Z906VCU2V3,0.5151515151515151
100,base,fair,Z906VCU2V3,0.0416666666666666
101,cp,fair,Z906VCU2V3,0.25
102,base,cp,ZDTPZMDCUB,0.5151515151515151
103,base,fair,ZDTPZMDCUB,0.0416666666666666
104,cp,fair,ZDTPZMDCUB,0.2195121951219512
